Orig Order,GeoType,Borough,GeoID,BCT2020,Name,CD Type,NTA Type,Pop_20,Pop_20P,HHPop_20,HHPop_20P,GQ_20,GQ_20P,InstGQ_20,InstGQ_20P,AvHHSz_20,AvHHSz_20P,PopU18_20,PopU18_20P,Hsp_20,Hsp_20P,WNH_20,WNH_20P,BNH_20,BNH_20P,ANH_20,ANH_20P,ONH_20,ONH_20P,NH2pl_20,NH2pl_20P,HUnits_20,HUnits_20P,OcHU_20,OcHU_20P,VacHU_20,VacHU_20P
1,NYC,New York City,0,,NYC,,,"8,804,190",100.0,"8,585,462",97.5,"218,728",2.5,"52,043",0.6,2.55,,"1,740,142",19.8,"2,490,350",28.3,"2,719,856",30.9,"1,776,891",20.2,"1,373,502",15.6,"143,632",1.6,"299,959",3.4,"3,618,635",100.0,"3,370,448",93.1,"248,187",6.9
2,Boro,Manhattan,1,,Manhattan,,,"1,694,251",100.0,"1,616,716",95.4,"77,535",4.6,"7,442",0.4,1.98,,"232,511",13.7,"402,640",23.8,"793,294",46.8,"199,592",11.8,"219,624",13.0,"16,112",1.0,"62,989",3.7,"913,926",100.0,"817,782",89.5,"96,144",10.5
3,Boro,Bronx,2,,Bronx,,,"1,472,654",100.0,"1,419,839",96.4,"52,815",3.6,"15,036",1.0,2.72,,"349,579",23.7,"806,463",54.8,"130,796",8.9,"419,393",28.5,"67,766",4.6,"19,866",1.3,"28,370",1.9,"547,030",100.0,"522,450",95.5,"24,580",4.5
4,Boro,Brooklyn,3,,Brooklyn,,,"2,736,074",100.0,"2,690,128",98.3,"45,946",1.7,"14,330",0.5,2.66,,"595,703",21.8,"516,426",18.9,"968,427",35.4,"729,696",26.7,"370,776",13.6,"37,579",1.4,"113,170",4.1,"1,077,654",100.0,"1,009,804",93.7,"67,850",6.3
5,Boro,Queens,4,,Queens,,,"2,405,464",100.0,"2,370,367",98.5,"35,097",1.5,"12,419",0.5,2.80,,"455,995",19.0,"667,861",27.8,"549,358",22.8,"381,375",15.9,"656,583",27.3,"66,175",2.8,"84,112",3.5,"896,333",100.0,"847,210",94.5,"49,123",5.5
6,Boro,Staten Island,5,,Staten Island,,,"495,747",100.0,"488,412",98.5,"7,335",1.5,"2,816",0.6,2.82,,"106,354",21.5,"96,960",19.6,"277,981",56.1,"46,835",9.4,"58,753",11.9,"3,900",0.8,"11,318",2.3,"183,692",100.0,"173,202",94.3,"10,490",5.7
7,CD,Manhattan,101,,Manhattan Community District 1,CD,,"78,390",100.0,"73,630",93.9,"4,760",6.1,"1,479",1.9,2.02,,"12,775",16.3,"6,914",8.8,"49,307",62.9,"2,964",3.8,"14,263",18.2,735,0.9,"4,207",5.4,"41,977",100.0,"36,457",86.8,"5,520",13.2
8,CD,Manhattan,102,,Manhattan Community District 2,CD,,"92,445",100.0,"86,745",93.8,"5,700",6.2,92,0.1,1.71,,"8,587",9.3,"7,303",7.9,"65,968",71.4,"2,271",2.5,"11,922",12.9,828,0.9,"4,153",4.5,"58,418",100.0,"50,806",87.0,"7,612",13.0
9,CD,Manhattan,103,,Manhattan Community District 3,CD,,"163,141",100.0,"154,216",94.5,"8,925",5.5,473,0.3,2.02,,"18,955",11.6,"38,668",23.7,"55,048",33.7,"12,776",7.8,"50,188",30.8,"1,425",0.9,"5,036",3.1,"82,589",100.0,"76,335",92.4,"6,254",7.6
10,CD,Manhattan,104,,Manhattan Community District 4,CD,,"131,351",100.0,"125,697",95.7,"5,654",4.3,40,0.0,1.68,,"11,444",8.7,"23,249",17.7,"69,509",52.9,"9,075",6.9,"22,933",17.5,"1,258",1.0,"5,327",4.1,"84,357",100.0,"75,001",88.9,"9,356",11.1
