Name,2018Ridership,Rank2018,Position
138 St-Grand Concourse,"3,166",363,POINT (-73.92984899935611 40.81322399958908)
149 St-Grand Concourse,"13,081",116,POINT (-73.92672247438611 40.81833014409742)
161 St-Yankee Stadium,"26,034",43,POINT (-73.92565099775477 40.827904998845845)
167 St,"9,398",167,POINT (-73.92139999784426 40.83553699933672)
167 St,"6,342",242,POINT (-73.91843200082253 40.83376899862797)
170 St,"8,140",187,POINT (-73.91339999846983 40.83930599964156)
170 St,"7,913",191,POINT (-73.91779099745928 40.84007499993004)
174 St,"6,751",228,POINT (-73.88769359812888 40.837195550170605)
174-175 Sts,"3,221",356,POINT (-73.91013600050078 40.84589999983414)
176 St,"5,807",259,POINT (-73.91179399884471 40.8484800012369)
182-183 Sts,"4,752",296,POINT (-73.90074099998965 40.85609299881864)
183 St,"5,754",262,POINT (-73.90387900151532 40.85840700040842)
219 St,"3,335",350,POINT (-73.8625097078866 40.883887974625274)
225 St,"3,961",324,POINT (-73.86021461772737 40.88802825863786)
231 St,"10,287",154,POINT (-73.90483400107873 40.87885599817935)
233 St,"4,864",291,POINT (-73.85736239521543 40.89314324138378)
238 St,"3,225",354,POINT (-73.90087000018522 40.88466700064975)
3 Av-138 St,"7,801",192,POINT (-73.92613800014134 40.81047600117261)
3 Av-149 St,"22,357",58,POINT (-73.91779152760981 40.816029252510006)
Allerton Av,"5,144",283,POINT (-73.86723422851625 40.86548337793927)
Baychester Av,"3,551",340,POINT (-73.83859099802153 40.87866300037311)
Bedford Park Blvd,"6,419",237,POINT (-73.88713799889574 40.87324399861646)
Bedford Park Blvd-Lehman College,"5,170",282,POINT (-73.89006400069478 40.87341199980121)
Bronx Park East,"2,498",382,POINT (-73.86835609178098 40.848768666338934)
Brook Av,"6,040",252,POINT (-73.91923999909432 40.80756599987699)
Buhre Av,"3,744",332,POINT (-73.83256900003744 40.846809998885504)
Burke Av,"3,234",352,POINT (-73.86705361747603 40.87125880254771)
Burnside Av,"10,231",156,POINT (-73.9076840015997 40.85345300155693)
Castle Hill Av,"6,483",234,POINT (-73.85122199961472 40.83425499825462)
Cypress Av,"3,651",336,POINT (-73.91404199994753 40.8053680007636)
East 143 St-St Mary's St,1019,416,POINT (-73.90765699936489 40.80871900090143)
East 149 St,"4,842",292,POINT (-73.90409799875945 40.81211799827203)
East 180 St,"7,175",213,POINT (-73.87334609510884 40.8418630412186)
Eastchester-Dyre Av,"4,506",309,POINT (-73.8308340021742 40.88829999901007)
Elder Av,"6,323",243,POINT (-73.87915899874777 40.82858400108929)
Fordham Rd,"10,395",153,POINT (-73.89774900102401 40.861295998683495)
Fordham Rd,"11,361",134,POINT (-73.90103399921699 40.86280299988937)
Freeman St,"4,451",313,POINT (-73.89175225349464 40.829987446384116)
Gun Hill Rd,"6,930",223,POINT (-73.86613410538703 40.877839385172024)
Gun Hill Rd,"5,362",274,POINT (-73.84638400151765 40.86952599962676)
Hunts Point Av,"10,460",150,POINT (-73.89054900017344 40.82094799852307)
Intervale Av,"3,130",364,POINT (-73.89661738461646 40.822142131170786)
Jackson Av,"5,288",278,POINT (-73.9077019387083 40.81643746686396)
Kingsbridge Rd,"8,992",171,POINT (-73.8935090000331 40.86697799999945)
Kingsbridge Rd,"7,922",190,POINT (-73.89717400101743 40.867760000885795)
Longwood Av,"3,395",346,POINT (-73.89643499897414 40.816103999972405)
Middletown Rd,"2,036",395,POINT (-73.83632199755944 40.84386300128381)
Morris Park,"2,417",385,POINT (-73.86049500117254 40.85436399966426)
Morrison Av-Soundview,"6,361",239,POINT (-73.87451599929486 40.82952100156747)
Mosholu Pkwy,"8,195",185,POINT (-73.88465499988732 40.87974999947229)
Mt Eden Av,"5,337",276,POINT (-73.9146849986034 40.84443400092679)
Nereid Av,"3,437",344,POINT (-73.8543153107622 40.898286515575286)
Norwood-205 St,"8,429",181,POINT (-73.87885499918691 40.87481100011182)
Parkchester,"15,660",90,POINT (-73.86081600108396 40.83322599927859)
Pelham Bay Park,"7,001",219,POINT (-73.82812100059289 40.85246199951662)
Pelham Pkwy,"8,472",180,POINT (-73.86748067850041 40.8571924091606)
Pelham Pkwy,"3,083",367,POINT (-73.85535900043564 40.858984999820116)
Prospect Av,"7,038",217,POINT (-73.99287200067424 40.66541366712979)
Simpson St,"8,477",178,POINT (-73.89306639507903 40.823976841237396)
St Lawrence Av,"4,040",321,POINT (-73.86761799923673 40.8315090005233)
Tremont Av,"10,398",152,POINT (-73.90522700122354 40.850409999510234)
Van Cortlandt Park-242 St,"7,742",193,POINT (-73.89858300049647 40.88924800011476)
Wakefield-241 St,"4,763",295,POINT (-73.8506199987954 40.903125000541245)
West Farms Sq-East Tremont Av,"6,866",226,POINT (-73.87996127877184 40.84020763241799)
Westchester Sq-East Tremont Av,"6,097",249,POINT (-73.84295199925012 40.839892001013915)
Whitlock Av,"1,894",399,POINT (-73.8862829985325 40.82652500055904)
Woodlawn,"6,937",222,POINT (-73.87875099990931 40.886037000253324)
Zerega Av,"2,629",379,POINT (-73.8470359987544 40.836488000608156)
15 St-Prospect Park,"6,136",247,POINT (-73.97973580592873 40.66003568810021)
18 Av,"6,136",248,POINT (-73.97697099965796 40.62975466638584)
18 Av,"3,947",325,POINT (-73.99045399865993 40.620686997680025)
18 Av,"3,097",366,POINT (-74.00159259239406 40.60773573171741)
20 Av,"4,905",288,POINT (-73.98452199846113 40.617108999866005)
20 Av,"3,514",341,POINT (-73.99817432157568 40.60467699816932)
25 Av,"5,083",284,POINT (-73.98682900011477 40.59770366695856)
25 St,"3,755",331,POINT (-73.99809099974297 40.66039666692321)
36 St,"13,493",111,POINT (-74.00354899951809 40.65514366633887)
4 Av /9 St,"12,560",123,POINT (-73.98977899938897 40.67027166728493)
45 St,"7,205",209,POINT (-74.01000600074939 40.648938666612814)
50 St,"3,195",359,POINT (-73.98384899986625 40.76172799961419)
53 St,"7,565",200,POINT (-74.01403399986317 40.64506866735981)
55 St,"2,185",388,POINT (-73.99534882595742 40.63147876093745)
59 St,"12,301",126,POINT (-74.01788099953987 40.6413616662838)
7 Av,"10,210",157,POINT (-73.98025117900944 40.66624469001985)
7 Av,"11,636",131,POINT (-73.97285279191024 40.67710217983294)
71 St,"5,607",267,POINT (-73.99884094850685 40.61925870977273)
77 St,"5,612",266,POINT (-73.95987399886047 40.77362000074615)
79 St,"6,177",245,POINT (-74.00058287431507 40.61315892569516)
8 Av,"11,474",133,POINT (-74.00257800104762 40.73977666638199)
86 St,"1,928",397,POINT (-73.97621799859327 40.78864400073892)
86 St,"11,338",136,POINT (-73.95177090964917 40.77786104333163)
9 Av,"5,344",275,POINT (-73.99444874451204 40.64648407726636)
Alabama Av,"2,147",389,POINT (-73.89852600159652 40.676998000003756)
Atlantic Av,"1,842",400,POINT (-73.9030969995401 40.67534466640805)
Atlantic Av-Barclays Ctr,"43,211",19,POINT (-73.97880999956767 40.683665667279435)
Avenue H,"3,418",345,POINT (-73.96151793942495 40.62920837758969)
Avenue I,"1,096",414,POINT (-73.97606933170925 40.62501744019143)
Avenue J ,"6,058",250,POINT (-73.96069316246925 40.625022819915166)
Avenue M ,"6,001",255,POINT (-73.9592431052215 40.617397744443736)
Avenue N ,"2,087",392,POINT (-73.97404850873143 40.61435671190883)
Avenue P ,"1,710",408,POINT (-73.97300281528751 40.608842808949916)
Avenue U ,"1,042",415,POINT (-73.97337641974885 40.59592482551748)
Avenue U ,"2,627",380,POINT (-73.97908400099428 40.597235999920436)
Avenue U ,"7,323",203,POINT (-73.95581122316301 40.59930895095475)
Avenue X ,"2,662",378,POINT (-73.97426599968905 40.589449666625285)
Bay 50 St ,"2,674",377,POINT (-73.98376500045946 40.58884066651933)
Bay Pkwy ,"7,719",194,POINT (-73.9936762000529 40.601950461572315)
Bay Pkwy ,623,421,POINT (-73.9752569782215 40.62073162316788)
Bay Pkwy ,"7,261",206,POINT (-73.98178001069293 40.61145578989005)
Bay Ridge Av ,"7,236",208,POINT (-74.02337699950728 40.63496666682377)
Bay Ridge-95 St ,"5,812",258,POINT (-74.03087600085765 40.61662166725951)
Bedford Av ,"26,603",39,POINT (-73.95666499806525 40.71717399858899)
