Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2024,AirNow,250030008,3,3.8,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/2/2024,AirNow,250030008,3,4.6,ug/m3 LC,19,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/3/2024,AirNow,250030008,3,5.9,ug/m3 LC,25,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/4/2024,AirNow,250030008,3,3.8,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/5/2024,AirNow,250030008,3,3.6,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/6/2024,AirNow,250030008,3,7.3,ug/m3 LC,30,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/7/2024,AirNow,250030008,3,2,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/8/2024,AirNow,250030008,3,4.4,ug/m3 LC,18,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/9/2024,AirNow,250030008,3,5.5,ug/m3 LC,23,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/10/2024,AirNow,250030008,3,1.1,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/11/2024,AirNow,250030008,3,3.4,ug/m3 LC,14,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/12/2024,AirNow,250030008,3,3.8,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/13/2024,AirNow,250030008,3,1.4,ug/m3 LC,6,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/14/2024,AirNow,250030008,3,2.7,ug/m3 LC,11,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/15/2024,AirNow,250030008,3,4.5,ug/m3 LC,19,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/16/2024,AirNow,250030008,3,5,ug/m3 LC,21,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/17/2024,AirNow,250030008,3,4.8,ug/m3 LC,20,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/18/2024,AirNow,250030008,3,8.9,ug/m3 LC,37,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/19/2024,AirNow,250030008,3,11.6,ug/m3 LC,48,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/20/2024,AirNow,250030008,3,3.7,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/21/2024,AirNow,250030008,3,2.2,ug/m3 LC,9,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/22/2024,AirNow,250030008,3,4.3,ug/m3 LC,18,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/23/2024,AirNow,250030008,3,9.1,ug/m3 LC,38,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/24/2024,AirNow,250030008,3,10.8,ug/m3 LC,45,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/25/2024,AirNow,250030008,3,6.1,ug/m3 LC,25,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/26/2024,AirNow,250030008,3,2.3,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/27/2024,AirNow,250030008,3,3.9,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/28/2024,AirNow,250030008,3,3,ug/m3 LC,13,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
1/29/2024,AirNow,250030008,3,2.8,ug/m3 LC,12,,1,100,88101,PM2.5 - Local Conditions,38340,"Pittsfield, MA",25,Massachusetts,3,Berkshire,42.45229931,-73.23964825
