"Air Quality Statistics by County, 2022",,,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 2, 2023.",,,,,,,,,,,,
State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Alabama,Baldwin County,01003,182265,ND,ND,ND,ND,0.063,ND,7.3,15,ND
Alabama,Clay County,01027,13932,ND,ND,ND,ND,ND,ND,6.9,15,ND
Alabama,Colbert County,01033,54428,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,DeKalb County,01049,71109,ND,ND,ND,ND,0.061,ND,6.9,14,ND
Alabama,Elmore County,01051,79303,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Alabama,Escambia County,01053,38319,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Etowah County,01055,104430,ND,ND,ND,ND,0.062,ND,8.2,18,ND
Alabama,Houston County,01069,101547,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Jefferson County,01073,658466,1,ND,9,40,0.066,79,11.7,26,10
Alabama,Madison County,01089,334811,ND,ND,ND,ND,0.065,66,7.4,16,ND
Alabama,Mobile County,01097,412992,ND,ND,ND,ND,0.061,ND,IN,IN,11
Alabama,Montgomery County,01101,229363,ND,ND,ND,ND,0.06,24,7.8,18,ND
Alabama,Morgan County,01103,119490,ND,ND,ND,ND,0.065,ND,8.5,21,ND
Alabama,Pike County,01109,32899,ND,0.22,ND,ND,ND,ND,ND,ND,ND
Alabama,Russell County,01113,52947,ND,ND,ND,ND,0.061,ND,9.1,24,ND
