"Name","year","rent"
"Greenpoint/Williamsburg","2006",1150
"Greenpoint/Williamsburg","2007",1330
"Greenpoint/Williamsburg","2008",1290
"Greenpoint/Williamsburg","2009",1360
"Greenpoint/Williamsburg","2010",1370
"Greenpoint/Williamsburg","2011",1530
"Greenpoint/Williamsburg","2012",1590
"Greenpoint/Williamsburg","2013",1560
"Greenpoint/Williamsburg","2014",1890
"Greenpoint/Williamsburg","2015",1910
"Greenpoint/Williamsburg","2016",2050
"Greenpoint/Williamsburg","2017",2260
"Greenpoint/Williamsburg","2018",2100
"Greenpoint/Williamsburg","2019",2250
"Greenpoint/Williamsburg","2020",2240
"Greenpoint/Williamsburg","2021",2490
"Fort Greene/Brooklyn Heights","2006",1320
"Fort Greene/Brooklyn Heights","2007",1480
"Fort Greene/Brooklyn Heights","2008",1410
"Fort Greene/Brooklyn Heights","2009",1560
"Fort Greene/Brooklyn Heights","2010",1780
"Fort Greene/Brooklyn Heights","2011",1720
"Fort Greene/Brooklyn Heights","2012",1880
"Fort Greene/Brooklyn Heights","2013",1800
"Fort Greene/Brooklyn Heights","2014",1940
"Fort Greene/Brooklyn Heights","2015",2070
"Fort Greene/Brooklyn Heights","2016",2100
"Fort Greene/Brooklyn Heights","2017",2170
"Fort Greene/Brooklyn Heights","2018",2400
"Fort Greene/Brooklyn Heights","2019",2480
"Fort Greene/Brooklyn Heights","2020",2490
"Fort Greene/Brooklyn Heights","2021",2650
"Bedford Stuyvesant","2006",1010
"Bedford Stuyvesant","2007",1100
"Bedford Stuyvesant","2008",1190
"Bedford Stuyvesant","2009",1200
"Bedford Stuyvesant","2010",1230
"Bedford Stuyvesant","2011",1170
"Bedford Stuyvesant","2012",1280
"Bedford Stuyvesant","2013",1270
"Bedford Stuyvesant","2014",1280
"Bedford Stuyvesant","2015",1460
"Bedford Stuyvesant","2016",1520
"Bedford Stuyvesant","2017",1400
"Bedford Stuyvesant","2018",1600
"Bedford Stuyvesant","2019",1600
"Bedford Stuyvesant","2020",1640
"Bedford Stuyvesant","2021",1910
"Bushwick","2006",1160
"Bushwick","2007",1250
"Bushwick","2008",1290
"Bushwick","2009",1360
"Bushwick","2010",1420
"Bushwick","2011",1440
"Bushwick","2012",1440
"Bushwick","2013",1480
"Bushwick","2014",1510
"Bushwick","2015",1550
"Bushwick","2016",1650
"Bushwick","2017",1660
"Bushwick","2018",1800
"Bushwick","2019",1900
"Bushwick","2020",1780
"Bushwick","2021",2000
"East New York/Starrett City","2006",1210
"East New York/Starrett City","2007",1240
"East New York/Starrett City","2008",1280
"East New York/Starrett City","2009",1280
"East New York/Starrett City","2010",1310
"East New York/Starrett City","2011",1310
"East New York/Starrett City","2012",1240
"East New York/Starrett City","2013",1340
"East New York/Starrett City","2014",1260
"East New York/Starrett City","2015",1310
"East New York/Starrett City","2016",1330
"East New York/Starrett City","2017",1410
"East New York/Starrett City","2018",1410
"East New York/Starrett City","2019",1340
"East New York/Starrett City","2020",1320
"East New York/Starrett City","2021",1390
"Park Slope/Carroll Gardens","2006",1880
"Park Slope/Carroll Gardens","2007",1720
"Park Slope/Carroll Gardens","2008",1980
"Park Slope/Carroll Gardens","2009",2110
"Park Slope/Carroll Gardens","2010",2100
"Park Slope/Carroll Gardens","2011",2130
"Park Slope/Carroll Gardens","2012",2080
"Park Slope/Carroll Gardens","2013",2240
"Park Slope/Carroll Gardens","2014",2380
"Park Slope/Carroll Gardens","2015",2420
"Park Slope/Carroll Gardens","2016",2390
"Park Slope/Carroll Gardens","2017",2580
"Park Slope/Carroll Gardens","2018",2400
"Park Slope/Carroll Gardens","2019",2600
"Park Slope/Carroll Gardens","2020",2580
"Park Slope/Carroll Gardens","2021",2600
"Sunset Park","2006",1370
"Sunset Park","2007",1350
"Sunset Park","2008",1380
"Sunset Park","2009",1430
"Sunset Park","2010",1490
"Sunset Park","2011",1440
"Sunset Park","2012",1520
"Sunset Park","2013",1520
"Sunset Park","2014",1590
"Sunset Park","2015",1540
"Sunset Park","2016",1650
"Sunset Park","2017",1670
"Sunset Park","2018",1810
"Sunset Park","2019",1730
"Sunset Park","2020",1730
"Sunset Park","2021",1720
"Crown Heights/Prospect Heights","2006",1210
"Crown Heights/Prospect Heights","2007",1190
"Crown Heights/Prospect Heights","2008",1260
"Crown Heights/Prospect Heights","2009",1250
"Crown Heights/Prospect Heights","2010",1370
"Crown Heights/Prospect Heights","2011",1320
"Crown Heights/Prospect Heights","2012",1320
"Crown Heights/Prospect Heights","2013",1310
"Crown Heights/Prospect Heights","2014",1390
"Crown Heights/Prospect Heights","2015",1440
"Crown Heights/Prospect Heights","2016",1600
"Crown Heights/Prospect Heights","2017",1440
"Crown Heights/Prospect Heights","2018",1560
"Crown Heights/Prospect Heights","2019",1730
"Crown Heights/Prospect Heights","2020",1660
"Crown Heights/Prospect Heights","2021",1800
"South Crown Heights/Lefferts Gardens","2006",1240
"South Crown Heights/Lefferts Gardens","2007",1260
"South Crown Heights/Lefferts Gardens","2008",1260
