borough,borough num,Name,Level,Year,market_rate_units,market_rate_units_percentage,mi_mod_units,mi_mod_units_percentage,low_income_units,low_income_units_percentage,unknown_units,unknown_units_percentage,total_units
Bronx,03,Morrisania/Crotona,Community District,2010-2020,794,(12%),104,(2%),5462,(84%),263,(4%),"6,510 (100%)"
Bronx,01,Mott Haven/Melrose,Community District,2010-2020,913,(17%),293,(6%),4325,(81%),0,(0%),"5,319 (100%)"
Bronx,06,Belmont/East Tremont,Community District,2010-2020,838,(20%),236,(6%),3148,(75%),0,(0%),"4,222 (100%)"
Bronx,07,Kingsbridge Heights/Bedford,Community District,2010-2020,576,(19%),167,(6%),2260,(75%),0,(0%),"3,003 (100%)"
Bronx,04,Highbridge/Concourse,Community District,2010-2020,573,(22%),91,(4%),1693,(66%),212,(8%),"2,569 (100%)"
Bronx,02,Hunts Point/Longwood,Community District,2010-2020,528,(26%),40,(2%),1461,(72%),0,(0%),"2,029 (100%)"
Bronx,05,Fordham/University Heights,Community District,2010-2020,692,(35%),88,(4%),1186,(60%),0,(0%),"1,966 (100%)"
Bronx,09,Parkchester/Soundview,Community District,2010-2020,605,(34%),121,(7%),1066,(59%),0,(0%),"1,792 (100%)"
Bronx,12,Williamsbridge/Baychester,Community District,2010-2020,865,(52%),39,(2%),825,(49%),15,(1%),"1,673 (100%)"
Bronx,08,Riverdale/Fieldston,Community District,2010-2020,811,(76%),42,(4%),216,(20%),0,(0%),"1,069 (100%)"
Bronx,10,Throgs Neck/Co-op City,Community District,2010-2020,410,(63%),13,(2%),228,(35%),0,(0%),651 (100%)
Bronx,11,Morris Park/Bronxdale,Community District,2010-2020,279,(87%),27,(8%),16,(5%),0,(0%),322 (100%)
Brooklyn,01,Greenpoint/Williamsburg,Community District,2010-2020,14590,(82%),636,(4%),2585,(15%),0,(0%),"17,811 (100%)"
Brooklyn,02,Fort Greene/Brooklyn Heights,Community District,2010-2020,10601,(76%),332,(2%),2991,(21%),0,(0%),"13,924 (100%)"
Brooklyn,03,Bedford Stuyvesant,Community District,2010-2020,4902,(83%),247,(4%),759,(13%),4,(0%),"5,912 (100%)"
Brooklyn,04,Bushwick,Community District,2010-2020,3982,(78%),474,(9%),647,(13%),8,(0%),"5,111 (100%)"
Brooklyn,05,East New York/Starrett City,Community District,2010-2020,248,(7%),26,(1%),3265,(92%),7,(0%),"3,546 (100%)"
Brooklyn,08,Crown Heights/Prospect Heights,Community District,2010-2020,2415,(70%),299,(9%),720,(21%),94,(3%),"3,474 (100%)"
Brooklyn,06,Park Slope/Carroll Gardens,Community District,2010-2020,2967,(87%),200,(6%),259,(8%),0,(0%),"3,426 (100%)"
Brooklyn,09,South Crown Heights/Lefferts Gardens,Community District,2010-2020,1595,(57%),186,(7%),1023,(36%),0,(0%),"2,803 (100%)"
Brooklyn,14,Flatbush/Midwood,Community District,2010-2020,2146,(83%),190,(7%),264,(10%),0,(0%),"2,600 (100%)"
Brooklyn,16,Brownsville,Community District,2010-2020,283,(13%),57,(3%),1934,(85%),16,(1%),"2,262 (100%)"
Brooklyn,17,East Flatbush,Community District,2010-2020,1666,(74%),445,(20%),129,(6%),0,(0%),"2,240 (100%)"
Brooklyn,07,Sunset Park,Community District,2010-2020,1533,(90%),26,(2%),145,(9%),0,(0%),"1,704 (100%)"
Brooklyn,15,Sheepshead Bay,Community District,2010-2020,1598,(96%),61,(4%),0,(0%),0,(0%),"1,659 (100%)"
Brooklyn,13,Coney Island,Community District,2010-2020,1171,(72%),50,(3%),406,(25%),0,(0%),"1,627 (100%)"
Brooklyn,12,Borough Park,Community District,2010-2020,1526,(97%),42,(3%),0,(0%),0,(0%),"1,568 (100%)"
