Name,diff,borough_num,unit_nums
Greenpoint/Williamsburg,1340,1,20424
Fort Greene/Brooklyn Heights,1330,2,14568
Bedford Stuyvesant,900,3,7682
Bushwick,840,4,6114
East New York/Starrett City,180,5,798
Park Slope/Carroll Gardens,720,6,3989
Sunset Park,350,7,2508
Crown Heights/Prospect Heights,590,8,3905
South Crown Heights/Lefferts Gardens,350,9,2292
Bay Ridge/Dyker Heights,310,10,293
Bensonhurst,280,11,1517
Borough Park,360,12,2963
Coney Island,280,13,1992
Flatbush/Midwood,330,14,3049
Sheepshead Bay,380,15,2292
Brownsville,230,16,547
East Flatbush,300,17,3029
Flatlands/Canarsie,380,18,570
