tractid,ntaname,totpop00,pop2400,NHW00,A2034y00,colleg00,mdfami00,mdrent00,J,totpop16,pop2416,NHW16,A2034y16,College16,mdfami16,mdrent16,R,NHW0016,A2034y0016,College0016,mdfami0016,mdrent0016,X,scoresraw,score0.025,score0.5,score0.975,Borough_Code,Borough,NHW00PCT,NHW16PCT,NHWPCTDIFF,POSNHWDIFF
36005000200,Soundview-Castle Hill-Clason Point-Harding Park,3505,2059,136,709,171,50817,730,NA,5251,3494,93,1155,615,75165,1237,NA,-0.543553329,0.087381032,1.119,0.479130999,0.694520548,NA,-0.012303266,-1.288060938,-0.139751007,0.990197036,36005,Bronx,0.038801711840228244,0.01771091220719863,-0.021090799633029615,FALSE
36005000400,Soundview-Castle Hill-Clason Point-Harding Park,3354,1979,186,702,234,41019,643,NA,5980,4136,243,1308,972,81163,1390,NA,-0.267251052,0.045039019,0.988,0.978668422,1.161741835,NA,1.118075857,-0.685202893,0.337358707,1.375168913,36005,Bronx,0.055456171735241505,0.040635451505016726,-0.01482072023022478,FALSE
36005001600,Soundview-Castle Hill-Clason Point-Harding Park,5208,3157,294,1232,351,30104,558,NA,6056,3653,142,1143,358,36701,945,NA,-0.584638611,-0.202151135,-0.119,0.219140314,0.693548387,NA,-1.90884313,-1.896047862,-0.977492589,-0.060854317,36005,Bronx,0.056451612903225805,0.02344782034346103,-0.03300379255976477,FALSE
36005001900,Mott Haven-Port Morris,1613,961,80,239,37,23671,461,NA,2682,1805,195,837,370,39010,1134,NA,0.465953579,1.10621718,4.324,0.648008111,1.459869848,NA,3.69811807,0.763317047,1.640029899,2.523888675,36005,Bronx,0.04959702417854929,0.07270693512304251,0.023109910944493217,TRUE
36005002000,Soundview-Castle Hill-Clason Point-Harding Park,9101,4894,116,1799,302,19694,266,NA,9131,5477,128,1932,597,20789,610,NA,0.099822885,0.070401552,0.766,0.055600691,1.293233083,NA,0.308494131,-1.295466296,-0.302502128,0.729423927,36005,Bronx,0.012745852104164377,0.014018179826963092,0.0012723277227987152,TRUE
36005002300,Mott Haven-Port Morris,4305,2430,41,827,152,20217,229,NA,4824,2692,10,1142,140,20885,417,NA,-0.782338308,0.232328382,-0.169,0.0330415,0.820960699,NA,-1.706307003,-1.20508191,-0.122568084,0.960107802,36005,Bronx,0.009523809523809525,0.0020729684908789387,-0.007450841032930586,FALSE
36005002500,Mott Haven-Port Morris,5109,2728,19,1212,90,15662,340,NA,5651,3295,91,1332,313,24939,692,NA,3.330104593,-0.006398587,1.879,0.592325374,1.035294118,NA,1.78036507,0.387585329,1.41861982,2.436340477,36005,Bronx,0.0037189273830495204,0.016103344540789242,0.012384417157739722,TRUE
36005002701,Mott Haven-Port Morris,3033,1533,35,595,161,13077,264,NA,3034,1529,25,589,159,22759,447,NA,-0.285949713,-0.010410308,-0.01,0.74038388,0.693181818,NA,-0.637407894,-0.549493928,0.533968111,1.622549826,36005,Bronx,0.01153972964061985,0.008239947264337508,-0.0032997823762823415,FALSE
36005002702,Mott Haven-Port Morris,4736,2249,8,1114,77,12042,332,NA,4684,2429,45,1205,187,23403,963,NA,4.687446627,0.0936961,1.249,0.943447932,1.90060241,NA,2.920196856,0.928143196,1.906217911,2.89242974,36005,Bronx,0.0016891891891891893,0.009607173356105893,0.007917984166916704,TRUE
36005002800,Soundview-Castle Hill-Clason Point-Harding Park,5718,3720,49,1121,522,38448,586,NA,5350,3975,38,1191,791,51109,937,NA,-0.17114629,0.135524523,0.418,0.329301914,0.598976109,NA,-0.502015961,-0.997689314,0.011926036,1.026399838,36005,Bronx,0.00856942987058412,0.007102803738317757,-0.0014666261322663632,FALSE
