short_name,long_name,Community District,2022
shd_421a_units,421-a Tax Exemption (units),MN 01 - Financial District,4693
shd_421a_units,421-a Tax Exemption (units),MN 02 - Greenwich Village/Soho,562
shd_421a_units,421-a Tax Exemption (units),MN 03 - Lower East Side/Chinatown,3620
shd_421a_units,421-a Tax Exemption (units),MN 04 - Clinton/Chelsea,21450
shd_421a_units,421-a Tax Exemption (units),MN 05 - Midtown,5348
shd_421a_units,421-a Tax Exemption (units),MN 06 - Stuyvesant Town/Turtle Bay,2553
shd_421a_units,421-a Tax Exemption (units),MN 07 - Upper West Side,5602
shd_421a_units,421-a Tax Exemption (units),MN 08 - Upper East Side,989
shd_421a_units,421-a Tax Exemption (units),MN 09 - Morningside Heights/Hamilton,1586
shd_421a_units,421-a Tax Exemption (units),MN 10 - Central Harlem,5392
shd_421a_units,421-a Tax Exemption (units),MN 11 - East Harlem,4507
shd_421a_units,421-a Tax Exemption (units),MN 12 - Washington Heights/Inwood,614
shd_421a_units,421-a Tax Exemption (units),BX 01 - Mott Haven/Melrose,3813
shd_421a_units,421-a Tax Exemption (units),BX 02 - Hunts Point/Longwood,1220
shd_421a_units,421-a Tax Exemption (units),BX 03 - Morrisania/Crotona,3347
shd_421a_units,421-a Tax Exemption (units),BX 04 - Highbridge/Concourse,2467
shd_421a_units,421-a Tax Exemption (units),BX 05 - Fordham/University Heights,2248
shd_421a_units,421-a Tax Exemption (units),BX 06 - Belmont/East Tremont,2104
shd_421a_units,421-a Tax Exemption (units),BX 07 - Kingsbridge Heights/Bedford,1475
shd_421a_units,421-a Tax Exemption (units),BX 08 - Riverdale/Fieldston,1524
shd_421a_units,421-a Tax Exemption (units),BX 09 - Parkchester/Soundview,874
shd_421a_units,421-a Tax Exemption (units),BX 10 - Throgs Neck/Co-op City,667
shd_421a_units,421-a Tax Exemption (units),BX 11 - Morris Park/Bronxdale,902
shd_421a_units,421-a Tax Exemption (units),BX 12 - Williamsbridge/Baychester,2075
shd_421a_units,421-a Tax Exemption (units),BK 01 - Greenpoint/Williamsburg,20424
shd_421a_units,421-a Tax Exemption (units),BK 02 - Fort Greene/Brooklyn Heights,14568
shd_421a_units,421-a Tax Exemption (units),BK 03 - Bedford Stuyvesant,7682
shd_421a_units,421-a Tax Exemption (units),BK 04 - Bushwick,6114
shd_421a_units,421-a Tax Exemption (units),BK 05 - East New York/Starrett City,798
shd_421a_units,421-a Tax Exemption (units),BK 06 - Park Slope/Carroll Gardens,3989
shd_421a_units,421-a Tax Exemption (units),BK 07 - Sunset Park,2508
shd_421a_units,421-a Tax Exemption (units),BK 08 - Crown Heights/Prospect Heights,3905
shd_421a_units,421-a Tax Exemption (units),BK 09 - South Crown Heights/Lefferts Gardens,2292
shd_421a_units,421-a Tax Exemption (units),BK 10 - Bay Ridge/Dyker Heights,293
shd_421a_units,421-a Tax Exemption (units),BK 11 - Bensonhurst,1517
shd_421a_units,421-a Tax Exemption (units),BK 12 - Borough Park,2963
shd_421a_units,421-a Tax Exemption (units),BK 13 - Coney Island,1992
shd_421a_units,421-a Tax Exemption (units),BK 14 - Flatbush/Midwood,3049
shd_421a_units,421-a Tax Exemption (units),BK 15 - Sheepshead Bay,2292
shd_421a_units,421-a Tax Exemption (units),BK 16 - Brownsville,547
shd_421a_units,421-a Tax Exemption (units),BK 17 - East Flatbush,3029
shd_421a_units,421-a Tax Exemption (units),BK 18 - Flatlands/Canarsie,570
shd_421a_units,421-a Tax Exemption (units),QN 01 - Astoria,9060
shd_421a_units,421-a Tax Exemption (units),QN 02 - Woodside/Sunnyside,11510
shd_421a_units,421-a Tax Exemption (units),QN 03 - Jackson Heights,1588
shd_421a_units,421-a Tax Exemption (units),QN 04 - Elmhurst/Corona,2616
shd_421a_units,421-a Tax Exemption (units),QN 05 - Ridgewood/Maspeth,826
shd_421a_units,421-a Tax Exemption (units),QN 06 - Rego Park/Forest Hills,1422
shd_421a_units,421-a Tax Exemption (units),QN 07 - Flushing/Whitestone,5427
shd_421a_units,421-a Tax Exemption (units),QN 08 - Hillcrest/Fresh Meadows,4073
shd_421a_units,421-a Tax Exemption (units),QN 09 - Kew Gardens/Woodhaven,365
shd_421a_units,421-a Tax Exemption (units),QN 10 - South Ozone Park/Howard Beach,15
shd_421a_units,421-a Tax Exemption (units),QN 11 - Bayside/Little Neck,88
shd_421a_units,421-a Tax Exemption (units),QN 12 - Jamaica/Hollis,1449
shd_421a_units,421-a Tax Exemption (units),QN 13 - Queens Village,40
shd_421a_units,421-a Tax Exemption (units),QN 14 - Rockaway/Broad Channel,1102
shd_421a_units,421-a Tax Exemption (units),SI 01 - St. George/Stapleton,1511
shd_421a_units,421-a Tax Exemption (units),SI 02 - South Beach/Willowbrook,30
shd_421a_units,421-a Tax Exemption (units),SI 03 - Tottenville/Great Kills,31
