Address,zip,lat,long
100 W 125th St, 10027, 40.807648, -73.946175
808 Columbus Ave, 10025, 40.793968, -73.967117
1551 3rd Ave, 10128, 40.779621, -73.953178
2421 Broadway, 10024, 40.790630, -73.975372
226 E 57th St, 10022, 40.758968, -73.964508
10 Columbus Cir Ste Sc101, 10019, 40.7687563, -73.9823899
1095 6th Ave, 10036, 40.7546489, -73.9847982
450 W 33rd St, 10001, 40.7532886, -73.9992485
250 7th Ave, 10001, 40.7450158, -73.9952075
63 Madison Ave, 10016, 40.7434683, -73.9853689
4 Union Square South, 10003, 40.7350575, -73.9920426
95 E Houston St, 10002, 40.7238342, -73.9923738
270 Greenwich St, 10007, 40.7154771, -74.0118812
66 Broadway, 10005, 40.707019, -74.0119075
238 Bedford Ave, 11249, 40.7162049, -73.9597974
292 Ashland Pl, 11217, 40.6864691, -73.9783808
214 3rd St., 11215, 40.6751357, -73.9886348
